ID			Name			UnitPrice			Num			Desc			SellerID			AddedTime			State
M000			meri			13.3			432			g			U000			2022-03-19			下架
M001			merii			13.3			432			g			U000			2022-03-19			下架
M002			meriii			13.3			430			g			U000			2022-03-19			下架
M003			meriiii			13.3			432			g			U000			2022-03-19			下架
M004			meriiiii			13.3			432			g			U000			2022-03-19			下架
M005			meriiiiii			13.3			432			g			U000			2022-03-19			下架
M006			merx			13.3			432			g			U000			2022-03-19			下架
M007			reald			1324.4			321412			rer			U004			2022-03-19			销售中
M008			realdf			1324.4			321412			rer			U004			2022-03-19			销售中
M009			realdf			1324.4			321412			rer			U004			2022-03-19			销售中
M010			realdf			1324.4			321412			rer			U004			2022-03-19			销售中
M011			merchandise			123.3			321			h			U006			2022-03-23			销售中
M012			merchandiset			123.3			321			h			U006			2022-03-23			下架
M013			cat			123.3			321			h			U006			2022-03-23			销售中
M014			dog			100			221			h			U006			2022-03-23			销售中
M015			qq			123.3			321			h			U006			2022-03-23			销售中
M016			wiki			123.3			321			h			U006			2022-03-23			销售中
